Match ID,Duration,Winer,Is_Pick,Hero_ID,Team,Order
7531076460,1499,Radiant,"[False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True]","[98, 58, 66, 65, 82, 69, 53, 15, 21, 83, 96, 110, 45, 19, 79, 97, 20, 74, 13, 41, 73, 120, 10, 106]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
7531158795,1573,Dire,"[False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True]","[82, 98, 58, 69, 53, 65, 66, 96, 38, 110, 45, 21, 26, 5, 86, 119, 41, 73, 13, 120, 19, 74, 106, 43]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
7531224646,2412,Radiant,"[False, False, False, False, False, False, False, True, True, False, False, False, True, True, True, True, True, True, False, False, False, False, True, True]","[98, 66, 58, 96, 69, 82, 65, 53, 21, 83, 45, 110, 5, 49, 121, 19, 15, 97, 120, 100, 41, 106, 10, 90]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
